n
(:Course {name: 华文教学的理念与方法})
(:Course {name: 西方哲学精神探源})
(:Course {name: 材料现代研究方法})
(:Course {name: 生活英语进阶})
(:Course {name: 美国政治概论})
(:Course {name: 教＆学微辞典})
(:Course {name: 西方哲学I：古代部分})
(:Course {name: 华文趣味教学法})
(:Course {name: 互联网企业估值})
(:Course {name: 学做小程序})
(:Course {name: 大学国文（下）})
(:Course {name: 大学国文——先秦至唐文学赏析})
(:Course {name: AP*备考——环境科学，第二部分：种群})
(:Course {name: 管理沟通的艺术})
(:Course {name: 大学历史与文化})
(:Course {name: 数据库系统原理与开发})
(:Course {name: 固体废物处置与资源化})
(:Course {name: 消防燃烧学})
(:Course {name: 创业成功第一步：写好商业计划书})
(:Course {name: 项目管理})
(:Course {name: 高技术与现代局部战争})
(:Course {name: 高等化工热力学（下）})
(:Course {name: 管理学原理})
(:Course {name: 复盘：让创业不败的方法论})
(:Course {name: 中国哲学经典著作导读})
(:Course {name: 现代生活美学进阶})
(:Course {name: 法学高级入门})
(:Course {name: 室内花草栽培技术与装饰布景})
(:Course {name: 生活英语听说})
(:Course {name: 运动与解剖学})
(:Course {name: 中国古代礼义文明（上）})
(:Course {name: 医学实验技术与方法新进展})
(:Course {name: 自动控制理论（1）})
(:Course {name: 病理生理学})
(:Course {name: 材料学概论})
(:Course {name: 道路工程材料})
(:Course {name: 运动与减脂塑形})
(:Course {name: 财务分析与估值})
(:Course {name: 女性修与养：女性运动、营养与健康})
(:Course {name: 极速悟透3ds Max})
(:Course {name: 地质学与工程地质})
(:Course {name: 药物化学})
(:Course {name: 创客培养：趣味力学实验与制作})
(:Course {name: e时代的新课堂——在线教育概论})
(:Course {name: 呼吸系统疾病})
(:Course {name: 中国工笔人物画赏析与创作})
(:Course {name: 机械原理})
(:Course {name: MEMS与微系统})
(:Course {name: 积极心理学（下）自强不息篇})
(:Course {name: 基因工程})
(:Course {name: 审美的历程})
(:Course {name: 微观化学世界})
(:Course {name: 西班牙语很容易})
(:Course {name: 创业私董会})
(:Course {name: 免疫学基础——第Ⅰ部分})
(:Course {name: 软件工程与软件自动化})
(:Course {name: 中国建筑史（下）})
(:Course {name: 大学物理——电磁学})
(:Course {name: 计算机科学和Python编程导论})
(:Course {name: 我国周边14个陆地邻国基本情况介绍})
(:Course {name: 大数据平台核心技术})
(:Course {name: 妇女健康和权益})
(:Course {name: 解剖与生活})
(:Course {name: 印刷色彩基础与实务})
(:Course {name: 校园心理学：让每一个学生顺利成长})
(:Course {name: 环境工程CAD})
(:Course {name: 智能时代下的创新创业实践})
(:Course {name: 物理与人类未来})
(:Course {name: 建筑消防安全})
(:Course {name: 以案说法})
(:Course {name: 大学生国家安全教育})
(:Course {name: 运动与体能提升})
(:Course {name: 循证护理})
(:Course {name: 民法与生活})
